ID,NOM,LATITUDE,LONGITUDE
8829009,"Essen-Grens",51.46909,4.44893
8829025,"MEER-GRENS",51.48591,4.73459
8831005,"Hasselt",50.93082,5.327631
8831039,"Alken",50.88683,5.292867
8831088,"Schulen",50.96376,5.187405
8831112,"Diepenbeek",50.91045,5.419946
8831138,"Bilzen",50.86864,5.50938
8831310,"Tongres",50.7844,5.47328
8831401,"Diest",50.99334,5.05003
8831765,"Genk",50.96706,5.497683
8831781,"Bokrijk",50.95581,5.408383
8831807,"Saint-Trond",50.81762,5.17665
8832003,"Bourg-Léopold",51.11731,5.25729
8832045,"Balen",51.1691,5.164985
8832227,"Beverlo",51.08772,5.234375
8832235,"Beringen",51.0506,5.23589
8832243,"Heusden",51.0382,5.281786
8832250,"Zolder",51.03352,5.330274
8832334,"Zonhoven",50.98956,5.348813
8832375,"Kiewit",50.95485,5.350226
8832409,"Mol",51.19105,5.116333
8832433,"Geel",51.16896,4.988611
8832458,"Olen",51.17403,4.9025
8832565,"Lommel",51.21156,5.312032
8832573,"Overpelt",51.21562,5.422756
8832615,"Neerpelt",51.22237,5.43717
8832664,"Hamont",51.24642,5.543276
8833001,"Louvain",50.88228,4.715868
8833050,"Vertrijk",50.83628,4.83552
8833126,"Heverlee",50.86253,4.695201
8833134,"Oud-Heverlee",50.83593,4.65331
8833159,"Sint-Joris-Weert",50.80063,4.651728
8833175,"Wijgmaal",50.92274,4.701478
8833209,"Aarschot",50.98441,4.82404
8833233,"Wezemaal",50.95626,4.747681
8833258,"Langdorp",51.00247,4.86354
8833266,"Testelt",51.00986,4.94583
8833274,"Zichem",51.00669,4.98736
8833308,"Tirlemont",50.80802,4.92581
8833449,"Ezemaal",50.77213,4.99422
8833605,"Landen",50.74793,5.07966
8833670,"Neerwinden",50.76396,5.03632
8841004,"Liège-Guillemins",50.62455,5.566698
8841202,"Ans",50.66121,5.5097
8841319,"Bierset-Awans",50.65861,5.46055
8841327,"Voroux",50.66181,5.42956
8841400,"Waremme",50.69455,5.24948
8841434,"Bléret",50.68507,5.286398
8841442,"Remicourt",50.67861,5.32141
8841459,"Momalle",50.66991,5.3676
8841467,"Fexhe-le-Haut-Clocher",50.66405,5.39845
8841525,"Liège-Saint-Lambert",50.64635,5.570451
8841558,"Liège-Carré",50.6403,5.56113
8841608,"Herstal",50.66091,5.622762
8841665,"Milmort",50.69246,5.600094
8841673,"Liers",50.69818,5.566829
8841731,"Glons",50.75043,5.535429
8842002,"Angleur",50.61314,5.59983
8842036,"Chênée",50.60802,5.616075
8842051,"Chaudfontaine",50.58698,5.643734
8842630,"Tilff",50.57063,5.583933
8842648,"Méry",50.54762,5.587237
8842655,"Hony",50.53992,5.573567
8842663,"Esneux",50.53056,5.572567
8842689,"Poulseur",50.50921,5.578855
8842705,"Rivage",50.48328,5.587635
8842754,"Aywaille",50.47293,5.672496
8842838,"Comblain-la-Tour",50.45686,5.566959
8842846,"Hamoir",50.42818,5.533561
8842853,"Sy",50.40326,5.523566
8843067,"Seraing",50.6089,5.513777
8843133,"Sclessin",50.60984,5.55891
8843141,"Pont-de-Seraing",50.61965,5.510161
8843158,"Jemeppe-sur-Meuse",50.61845,5.497871
8843166,"Flémalle-Grande",50.60535,5.48098
8843174,"Ougrée",50.6054,5.536972
8843208,"Flémalle-Haute",50.59531,5.457661
8843224,"Leman",50.6004,5.46831
8843240,"Engis",50.58296,5.40199
8843307,"Huy",50.52724,5.23421
8843323,"Ampsin",50.53922,5.289727
8843331,"Amay",50.54601,5.32049
8843349,"Haute-Flône",50.55349,5.330336
8843406,"Statte",50.52828,5.21968
8843430,"Bas-Oha",50.52263,5.19094
8843901,"Bressoux",50.64396,5.611062
8844008,"Verviers-Central",50.58814,5.854913
8844057,"Verviers-Palais",50.59092,5.865333
8844206,"Pepinster",50.56818,5.806155
8844230,"Nessonvaux",50.57209,5.741577
8844255,"Fraipont",50.56506,5.723666
8844271,"Trooz",50.57321,5.688351
8844313,"Pepinster-Cité",50.5634,5.804399
8844321,"Juslenville",50.54472,5.809935
8844339,"Theux",50.53616,5.81503
8844347,"Franchimont",50.52572,5.82222
8844404,"Spa",50.4903,5.855101
8844420,"Spa-Géronstère",50.4893,5.866211
8844503,"Welkenraedt",50.65971,5.975386
8844545,"Dolhain-Gileppe",50.61625,5.93649
8844628,"Eupen",50.63516,6.03711
8844644,"Hergenrath",50.71821,6.041336
8845005,"Gouvy",50.18941,5.95391
8845146,"Vielsalm",50.27893,5.909209
8845203,"Trois-Ponts",50.36822,5.873579
8845229,"Coo",50.39113,5.880474
8846201,"Visé",50.73776,5.692548
8847258,"Y.RENORY",50.60485,5.55788
8849023,"Hergenrath-Frontière",50.71896,6.041269
8849072,"Gouvy-Frontière",50.17165,5.968613
8861119,"Ronet",50.45774,4.82842
8861127,"Flawinne",50.45624,4.8063
8861135,"Floreffe",50.44333,4.762371
8861143,"Franière",50.43954,4.73355
8861150,"Moustier",50.45275,4.69381
8861200,"Gembloux",50.57048,4.691497
8861317,"Chapelle-Dieu",50.55738,4.697624
8861333,"Mazy",50.5135,4.67583
8861416,"Lonzée",50.55194,4.7201
8861424,"Beuzet",50.53421,4.748531
8861432,"Saint-Denis-Bovesse",50.5213,4.76779
8861440,"Rhisnes",50.49935,4.80187
8861515,"Ernage",50.59082,4.66854
8861523,"Chastre",50.60882,4.648884
8861531,"Blanmont",50.61945,4.63639
8861549,"Mont-Saint-Guibert",50.63761,4.613883
8862018,"Stockem",49.69094,5.769116
8863008,"Namur",50.46879,4.86222
8863115,"Jambes",50.45485,4.876143
8863156,"Lustin",50.36975,4.877468
8863354,"Jambes-Est",50.4548,4.88026
8863362,"Dave-Saint-Martin",50.4291,4.884417
8863404,"Andenne",50.49677,5.094701
8863438,"Château-de-Seilles",50.49721,5.08175
8863446,"Sclaigneaux",50.49224,5.026359
8863453,"Namêche",50.47043,4.997939
8863461,"Marche-les-Dames",50.48074,4.96458
8863503,"Dinant",50.26072,4.90818
8863545,"Yvoir",50.32084,4.87864
8863560,"Godinne",50.34891,4.86996
8863818,"Anseremme",50.23802,4.90553
8863834,"Gendron-Celles",50.21124,4.964611
8863842,"Houyet",50.18987,5.006076
8863867,"Beauraing",50.11443,4.95684
8864006,"Rochefort-Jemelle",50.1604,5.266697
8864311,"Forrières",50.13276,5.276783
8864337,"Grupont",50.0906,5.280527
8864345,"Marloie",50.20282,5.31389
8864352,"Aye",50.22413,5.301096
8864410,"Marche-en-Famenne",50.22247,5.34629
8864436,"Melreux-Hotton",50.28367,5.44014
8864451,"Barvaux",50.34942,5.50154
8864469,"Bomal",50.3768,5.519304
8864501,"Ciney",50.29105,5.091406
8864816,"Leignon",50.26777,5.10778
8864824,"Chapois",50.26237,5.12426
8864832,"Haversin",50.24904,5.194376
8864915,"Natoye",50.3433,5.061162
8864931,"Assesse",50.36814,5.022836
8864949,"Courrière",50.38744,4.996051
8864956,"Sart-Bernard",50.40637,4.94974
8864964,"Naninne",50.41969,4.929754
8865003,"Libramont",49.92043,5.37927
8865227,"Poix-Saint-Hubert",50.01951,5.292646
8865300,"Bertrix",49.85283,5.267189
8865540,"Paliseul",49.89541,5.118351
8865565,"Carlsbourg",49.90546,5.092785
8865615,"Graide",49.93413,5.043044
8865649,"Gedinne",49.98412,4.978077
8866001,"Arlon",49.68053,5.809972
8866118,"Viville",49.68824,5.786525
8866142,"Habay",49.71825,5.632689
8866175,"Marbehan",49.72733,5.539757
8866258,"Neufchâteau",49.85432,5.452557
8866407,"Virton",49.56082,5.519122
8866530,"Halanzy",49.55621,5.741347
8866605,"Athus",49.56334,5.828944
8866654,"Aubange",49.56409,5.798058
8866662,"Messancy",49.59278,5.818919
8866845,"Florenville",49.70697,5.33112
8869047,"Athus-Frontière",49.55175,5.824932
8869054,"Sterpenich-Frontière",49.64396,5.90415
8871100,"Marchienne-au-Pont",50.41217,4.39422
8871175,"Jamioulx",50.3529,4.41129
8871183,"Beignée",50.33389,4.406307
8871217,"Roux",50.44311,4.3932
8871225,"Courcelles-Motte",50.46201,4.40053
